7	GB
137	IT
250	DE
251	GB
286	NL
288	DE
375	FI
378	IL
553	DE
559	CH
565	FI
719	FI
764	FI
775	FR
776	FR
777	FR
789	FR
790	FI
1101	NL
1103	NL
1104	NL
1117	AT
1124	NL
1126	NL
1128	NL
1132	NL
1133	NL
1134	NL
1136	NL
1140	NL
1142	NL
1147	NL
1161	NL
1234	FI
1241	GR
1248	FI
1257	SE
1267	IT
1273	GB
1290	GB
1299	SE
1301	FR
1303	FR
1307	FR
1342	FI
1653	SE
1654	SE
1663	US
1708	FR
1712	FR
1715	FR
1723	FR
1725	FR
1729	SE
1738	FI
1739	FI
1759	FI
1764	AT
1770	NO
1835	DK
1836	CH
1837	NL
1849	GB
1850	IS
1889	US
1930	PT
1935	FR
1938	FR
1942	FR
1945	FR
1948	FR
1967	TR
2060	FR
2065	FR
2094	FR
2109	DK
2110	IE
2121	NL
2147	GB
2148	RU
2198	FR
2199	FR
2202	FR
2259	FR
2263	FR
2269	FR
2320	US
2418	FR
2426	FR
2439	FR
2445	FR
2471	FR
2472	FR
2529	GB
2546	GR
2547	HU
2578	RU
2643	RU
2647	FR
2683	RU
2895	RU
3333	NL
3917	NL
3918	EU
4589	GB
6067	GB
6320	GB
6412	KW
6904	US
6905	US
8346	SN
8918	NL
9011	GB
12046	MT
12666	NL
12980	US
13134	PT
15513	CH
15597	CA
15647	PT
16077	FR
19178	US
19399	na
20940	US
20965	GB
21399	US
21434	CH
22108	ZZ
22683	NL
25139	MZ
28810	CH
29302	GB
29313	FR
29393	US
29487	US
29680	ES
30787	DE
31139	US
31377	US
34178	GB
34846	GB
41558	ES
42210	US
43375	LU
43484	US
44444	GB
44820	UA
45008	GB
47689	AT
49230	FR
49395	US
52192	RO
56622	UA
56744	RO
57180	RO
58175	RO
58262	IR
59657	DE
60778	NL
60929	IQ
60995	CH
61025	FR
61112	RO
61328	EE
196674	GB
196727	DK
197289	EE
197344	RU
198063	GB
198321	US
199247	RU
